Puzzles,Avg_Times,Generation_Solution_Found,Total Generation Resets,Count of Solutions Found
1,89.71649042,9.333333333,452,5
2,114.4848523,12,390.9166667,5
3,58.54761148,6.333333333,456.3333333,5
4,57.11539723,6,646.25,5
5,201.5376105,20.5,687.5833333,5
6,37.459768,4.25,467.5,5
7,189.229819,19.5,437.3333333,5
8,82.30178175,8.916666667,352.75,5
9,121.3777789,12.58333333,425.6666667,5
10,242.8711545,24.5,635.9166667,5
11,63.50421841,6.75,573.0833333,5
12,121.3001614,12.66666667,366.75,5
13,35.94805693,4,532.5833333,5
14,144.7956344,14.91666667,565.0833333,5
15,150.372432,15.16666667,823.8333333,5
16,75.70606889,7.916666667,576.5,5
17,207.4669823,21,531.3333333,5
18,306.8304602,31,589,5
19,347.9764659,35.25,696.9166667,5
20,149.4994645,15.08333333,689.5833333,5
21,617.4474414,61.08333333,551.25,5
22,1492.781471,148.3333333,468.8333333,5
23,135.5963292,13.91666667,655.6666667,5
24,321.701703,32.08333333,434.3333333,5
25,49.93754782,5.5,343,5
26,36.44127315,3.833333333,782.9166667,5
27,139.1170352,14.25,577.0833333,5
28,37.77896798,4.166666667,534.0833333,5
29,31.23790629,3.583333333,496.4166667,5
30,182.7787576,18.91666667,374.5,5
