Puzzles,Avg_Times,Count of Solutions Found
1,1.048331408000002,100
2,1.318801334042543,94
3,0.668733530000022,100
4,1.1509593469387642,98
5,1.9213341225351888,71
6,0.3380472790000049,100
7,1.6880180448717812,78
8,0.6013188319999915,100
9,1.154194887628865,97
10,1.4731911825581276,86
11,1.3993406368421266,95
12,0.76156362599999,100
13,1.4817033197674478,86
14,0.685276910999997,100
15,1.2255230648936273,94
16,1.7308823623376088,77
17,1.4212514055555827,90
18,2.258000200000005,68
19,2.188167102127676,47
20,1.1294323877550747,98
21,2.1374876425000218,40
22,1.9079545275362242,69
23,1.8734502346666932,75
24,1.6401881578947333,76
25,0.44707648900002,100
26,0.8513400910000064,100
27,1.5190517448276006,87
28,1.3449623645833373,96
29,0.3520276009999707,100
30,1.7728570058139432,86
