Puzzles,Avg_Times,Count of Solutions Found
1,0.3063760088235249,34
2,0.30139481249999456,24
3,0.24243257674418717,43
4,0.288197333333352,24
5,0.3225915500000046,14
6,0.21004123461538862,78
7,0.2781632111111476,9
8,0.22199660199999943,50
9,0.2721648884615385,26
10,0.2755937062499833,16
11,0.23671719999998153,16
12,0.2538695645833336,48
13,0.2541325000000135,12
14,0.26405629999999486,43
15,0.2741031260869529,23
16,0.23528469999999893,13
17,0.29538087500000154,16
18,0.22633137272731574,11
19,0.31305828333336194,6
20,0.2692822153845905,26
21,0.4058343666666815,3
22,0.2880501374999689,8
23,0.2936293470588371,17
24,0.23742920999997352,10
25,0.2364564378787899,66
26,0.2815964452380997,42
27,0.2911387444444389,18
28,0.261517468965513,29
29,0.220736021951224,82
30,0.30919394705883424,17
