Puzzles,Avg_Times,Count of Solutions Found
1,0.2875490500000524,2
2,0.42496739999994776,3
3,0.4575135833333424,6
4,0.4075350250000298,4
5,0.4335291000000119,2
6,0.42638443333329973,15
7,0.4691016000001582,1
8,0.42840484000001594,10
9,0.45883660000004056,1
10,0.4516614999999575,2
11,0.41625879999998006,2
12,0.43305554999999174,4
14,0.4492087250000063,8
15,0.39308790000003074,3
16,0.43793629999998984,1
18,0.4220247000000654,1
20,0.44529159999998075,3
23,0.4127715750000007,4
24,0.4378293666666953,3
25,0.40425049000002955,10
26,0.36625863333334036,6
27,0.4084149500000649,2
28,0.4382612333332645,3
29,0.43101722173911683,23
30,0.4436606000000438,2
